"form","state","region","female","age","class","OCCUPATION1","OCCUPATION2","OCCUPATION3","black","size","education","AGE_3WAY","AGE40","OCC8","prof","REGION4","EDU_RECODE","VOTE_PRO","VOTE_RETRO","PHONE_RECODE","CAR_RECODE","ballot","Q1","Q2","Q3","Q4A","Q4B","Q4C","Q5A","Q5B","farm","SIZE3","urban","StPOAbrv","SOUTH11","SOUTH11xBLACK","SOUTH12","SOUTH12xBLACK","south","SOUTHxBLACK","year","WtPubFeas","WtVotFeas"
,"Wisconsin","West Central","Male","45-54 yrs","Av+","Other and None",,,,"Small town",,,,"Other","Not Professional","Midwest",,"fdr","Did not vote",,,53,"Yes","Yes","Yes","Roosevelt","Landon","Landon","Roosevelt","No","Non-Farm","Rural Non-Farm","Non-Urban","wi","Non-South",,"Non-South",,"Non-South",,1936,,
,"Wisconsin","West Central","Male","45-54 yrs","Av","Other and None",,,,"Urban",,,,"Other","Not Professional","Midwest",,"fdr","Did not vote",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","No","Non-Farm","Urban","Urban","wi","Non-South",,"Non-South",,"Non-South",,1936,,
,"Minnesota","West Central","Male","45-54 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Midwest",,"fdr","Did not vote",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","No","Non-Farm","Urban","Urban","mn","Non-South",,"Non-South",,"Non-South",,1936,,
,"Wisconsin","West Central","Male","55 yrs and over","P or P+","Other and None",,,,"Urban",,,,"Other","Not Professional","Midwest",,"fdr","Did not vote",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","No","Non-Farm","Urban","Urban","wi","Non-South",,"Non-South",,"Non-South",,1936,,
,"Missouri","West Central","Male","35-44 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Midwest",,"fdr","Did not vote",,,53,,"Yes","Yes","Roosevelt","Roosevelt",,"Roosevelt","No","Non-Farm","Urban","Urban","mo","Non-South",,"Non-South",,"Non-South",,1936,,
,"Kansas","West Central","Male","25-34 yrs","Av","Unskilled workers",,,,"Urban",,,,"Labor","Not Professional","Midwest",,"fdr","Did not vote",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Neither","Roosevelt","No","Non-Farm","Urban","Urban","ks","Non-South",,"Non-South",,"Non-South",,1936,,
,"Iowa","West Central","Male","25-34 yrs","Av+","Professiol",,,,"Farm",,,,"Professional","Professional","Midwest",,"fdr","Did not vote",,,53,"No","Yes","Yes","Roosevelt","Landon","Landon","Roosevelt","No","Farm","Farm","Non-Urban","ia","Non-South",,"Non-South",,"Non-South",,1936,,
,"Missouri","West Central","Male","55 yrs and over","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Midwest",,"fdr","Did not vote",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","No","Non-Farm","Urban","Urban","mo","Non-South",,"Non-South",,"Non-South",,1936,,
,"Illinois","East Central","Male",,"Av+","Unskilled workers",,,,"Urban",,,,"Labor","Not Professional","Midwest",,"fdr","Did not vote",,,53,,"Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","No","Non-Farm","Urban","Urban","il","Non-South",,"Non-South",,"Non-South",,1936,,
,"Illinois","East Central","Male","55 yrs and over","Av+","Other and None",,,,"Urban",,,,"Other","Not Professional","Midwest",,"fdr","Did not vote",,,53,,"Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","No","Non-Farm","Urban","Urban","il","Non-South",,"Non-South",,"Non-South",,1936,,
,"Illinois","East Central","Female","35-44 yrs","Av","Other and None",,,,"Urban",,,,"Other","Not Professional","Midwest",,"fdr","Did not vote",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","No","Non-Farm","Urban","Urban","il","Non-South",,"Non-South",,"Non-South",,1936,,
,"Ohio","East Central","Female","35-44 yrs","P or P+","Other and None",,,,"Urban",,,,"Other","Not Professional","Midwest",,"fdr","Did not vote",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","No","Non-Farm","Urban","Urban","oh","Non-South",,"Non-South",,"Non-South",,1936,,
,"Illinois","East Central","Female","55 yrs and over","Av","Other and None",,,,"Urban",,,,"Other","Not Professional","Midwest",,"fdr","Did not vote",,,53,,,"Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","No","Non-Farm","Urban","Urban","il","Non-South",,"Non-South",,"Non-South",,1936,,
,"Illinois","East Central","Female","25-34 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Midwest",,"fdr","Did not vote",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","No","Non-Farm","Urban","Urban","il","Non-South",,"Non-South",,"Non-South",,1936,,
,"Ohio","East Central","Female","25-34 yrs","Av+","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","Midwest",,"fdr","Did not vote",,,53,"No","Yes","Yes","Landon","Landon","Landon","Roosevelt","No","Non-Farm","Rural Non-Farm","Non-Urban","oh","Non-South",,"Non-South",,"Non-South",,1936,,
,"Michigan","East Central","Male","35-44 yrs","Av+","Skilled workers",,,,"Farm",,,,"Labor","Not Professional","Midwest",,"fdr","Did not vote",,,53,"No","Yes","Yes",,,"Landon","Roosevelt","No","Farm","Farm","Non-Urban","mi","Non-South",,"Non-South",,"Non-South",,1936,,
,"Illinois","East Central","Male","25-34 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Midwest",,"fdr","Did not vote",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","No","Non-Farm","Urban","Urban","il","Non-South",,"Non-South",,"Non-South",,1936,,
,"Ohio","East Central","Male","25-34 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Midwest",,"fdr","Did not vote",,,53,,"Yes","Yes","Roosevelt","Landon","Landon","Roosevelt","No","Non-Farm","Urban","Urban","oh","Non-South",,"Non-South",,"Non-South",,1936,,
,"Ohio","East Central","Male","25-34 yrs","Av+","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","Midwest",,"fdr","Did not vote",,,53,"No","No","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","No","Non-Farm","Rural Non-Farm","Non-Urban","oh","Non-South",,"Non-South",,"Non-South",,1936,,
,"Pennsylvania","Middle Atlantic","Male","21-24 yrs",,"Business",,,,"Farm",,,,"Professional","Professional","Northeast",,"Landon","Did not vote",,,53,"No","No","Yes","Landon","Roosevelt","Neither","Landon","No, too young to vote","Farm","Farm","Non-Urban","pa","Non-South",,"Non-South",,"Non-South",,1936,,
,"New York","Middle Atlantic","Male","21-24 yrs",,"Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Northeast",,"Landon","Did not vote",,,53,"No","Yes","Yes","Landon","Roosevelt","Landon","Landon","No, too young to vote","Non-Farm","Urban","Urban","ny","Non-South",,"Non-South",,"Non-South",,1936,,
,"Pennsylvania","Middle Atlantic","Male","21-24 yrs",,"Other and None",,,,"Urban",,,,"Other","Not Professional","Northeast",,"Landon","Did not vote",,,53,"No","Yes","Yes","Roosevelt","Landon","Landon","Landon","No, too young to vote","Non-Farm","Urban","Urban","pa","Non-South",,"Non-South",,"Non-South",,1936,,
,"New York","Middle Atlantic","Male","21-24 yrs",,"Other and None",,,,"Small town",,,,"Other","Not Professional","Northeast",,"Landon","Did not vote",,,53,"Yes","Yes","Yes","Landon","Landon","Neither","Landon","No, too young to vote","Non-Farm","Rural Non-Farm","Non-Urban","ny","Non-South",,"Non-South",,"Non-South",,1936,,
,"Pennsylvania","Middle Atlantic","Male","21-24 yrs","Av+","Other and None",,,,"Urban",,,,"Other","Not Professional","Northeast",,"Landon","Did not vote",,,53,"Yes","Yes","Yes","Landon","Landon","Landon","Landon","No, too young to vote","Non-Farm","Urban","Urban","pa","Non-South",,"Non-South",,"Non-South",,1936,,
,"Maryland","Middle Atlantic","Male","21-24 yrs","Av+","Skilled workers",,,,"Farm",,,,"Labor","Not Professional","Northeast",,"Landon","Did not vote",,,53,"No","No","Yes","Landon","Roosevelt","Landon","Landon","No, too young to vote","Farm","Farm","Non-Urban","md","Non-South",,"Non-South",,"Non-South",,1936,,
,"Georgia","South and Southwest","Male","21-24 yrs",,"Other and None",,,,"Urban",,,,"Other","Not Professional","South",,"Landon","Did not vote",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Landon","No, too young to vote","Non-Farm","Urban","Urban","ga","South",,"South",,"South",,1936,,
,"Virginia","South and Southwest","Male","21-24 yrs",,"Other and None",,,,"Urban",,,,"Other","Not Professional","South",,"Landon","Did not vote",,,53,,"Yes","Yes","Landon","Landon","Neither","Landon","No, too young to vote","Non-Farm","Urban","Urban","va","South",,"South",,"South",,1936,,
,"Kentucky","South and Southwest","Male","21-24 yrs",,"Professiol",,,,"Urban",,,,"Professional","Professional","South",,"Landon","Did not vote",,,53,"Yes","No","Yes","Roosevelt","Roosevelt","Roosevelt","Landon","No, too young to vote","Non-Farm","Urban","Urban","ky","Non-South",,"Non-South",,"South",,1936,,
,"Texas","South and Southwest","Male","45-54 yrs","P or P+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","tx","South",,"South",,"South",,1936,,
,"Texas","South and Southwest","Male","45-54 yrs","Av+","Business",,,,"Small town",,,,"Professional","Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","tx","South",,"South",,"South",,1936,,
,"Tennessee","South and Southwest","Male","45-54 yrs","P or P+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","South",,"fdr","fdr",,,53,"No","Yes","Yes","Roosevelt","Roosevelt",,"Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","tn","South",,"South",,"South",,1936,,
,"Texas","South and Southwest","Male","55 yrs and over","Av+","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","tx","South",,"South",,"South",,1936,,
,"Texas","South and Southwest","Male","55 yrs and over","Av+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","tx","South",,"South",,"South",,1936,,
,"Tennessee","South and Southwest","Male","55 yrs and over","P or P+","Other and None",,,,"Urban",,,,"Other","Not Professional","South",,"fdr","fdr",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","tn","South",,"South",,"South",,1936,,
,"Tennessee","South and Southwest","Male","55 yrs and over","Av","Business",,,,"Urban",,,,"Professional","Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Both candidates","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","tn","South",,"South",,"South",,1936,,
,"Tennessee","South and Southwest","Male","55 yrs and over",,"Skilled workers",,,,"Urban",,,,"Labor","Not Professional","South",,"fdr","fdr",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Neither","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","tn","South",,"South",,"South",,1936,,
,"Tennessee","South and Southwest","Male","55 yrs and over","Av+","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","tn","South",,"South",,"South",,1936,,
,"Tennessee","South and Southwest","Male","55 yrs and over","Av+","Skilled workers",,,,"Farm",,,,"Labor","Not Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","tn","South",,"South",,"South",,1936,,
,"Tennessee","South and Southwest","Male","35-44 yrs","P or P+","Other and None",,,,"Urban",,,,"Other","Not Professional","South",,"fdr","fdr",,,53,"Yes",,"Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","tn","South",,"South",,"South",,1936,,
,"Ohio","East Central","Male","55 yrs and over","Av+","Professiol",,,,"Small town",,,,"Professional","Professional","Midwest",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Both candidates","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","oh","Non-South",,"Non-South",,"Non-South",,1936,,
,"Ohio","East Central","Male","55 yrs and over","Av+","Business",,,,"Small town",,,,"Professional","Professional","Midwest",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","oh","Non-South",,"Non-South",,"Non-South",,1936,,
,"Indiana","East Central","Male","55 yrs and over","Av+","Other and None",,,,"Small town",,,,"Other","Not Professional","Midwest",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","in","Non-South",,"Non-South",,"Non-South",,1936,,
,"Illinois","East Central","Male","55 yrs and over","Av+","Skilled workers",,,,"Farm",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Neither","Roosevelt","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","il","Non-South",,"Non-South",,"Non-South",,1936,,
,"Indiana","East Central","Male","55 yrs and over","Av+","Skilled workers",,,,"Farm",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","in","Non-South",,"Non-South",,"Non-South",,1936,,
,"Indiana","East Central","Female","55 yrs and over","Av","Other and None",,,,"Urban",,,,"Other","Not Professional","Midwest",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Both candidates","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","in","Non-South",,"Non-South",,"Non-South",,1936,,
,"Illinois","East Central","Female","55 yrs and over","P or P+","Other and None",,,,"Urban",,,,"Other","Not Professional","Midwest",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","il","Non-South",,"Non-South",,"Non-South",,1936,,
,"Illinois","East Central","Female","55 yrs and over","Av","Other and None",,,,"Urban",,,,"Other","Not Professional","Midwest",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","il","Non-South",,"Non-South",,"Non-South",,1936,,
,"Illinois","East Central","Female","35-44 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Landon","Landon","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","il","Non-South",,"Non-South",,"Non-South",,1936,,
,"Illinois","East Central","Female","45-54 yrs","Av","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,,53,"No","No","Yes",,,"Landon","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","il","Non-South",,"Non-South",,"Non-South",,1936,,
,"Indiana","East Central","Female","45-54 yrs","Av","Other and None",,,,"Urban",,,,"Other","Not Professional","Midwest",,"fdr","fdr",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","in","Non-South",,"Non-South",,"Non-South",,1936,,
,"Indiana","East Central","Male","35-44 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","in","Non-South",,"Non-South",,"Non-South",,1936,,
,"Illinois","East Central","Male","35-44 yrs","Av+","Skilled workers",,,,"Farm",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","il","Non-South",,"Non-South",,"Non-South",,1936,,
,"Ohio","East Central","Male","35-44 yrs","Av+","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Both candidates","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","oh","Non-South",,"Non-South",,"Non-South",,1936,,
,"Illinois","East Central","Male","45-54 yrs","Av","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","Midwest",,"fdr","fdr",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","il","Non-South",,"Non-South",,"Non-South",,1936,,
,"Illinois","East Central","Male","45-54 yrs","Av","Business",,,,"Urban",,,,"Professional","Professional","Midwest",,"fdr","fdr",,,53,"No","Yes","Yes","Roosevelt","Landon","Landon","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","il","Non-South",,"Non-South",,"Non-South",,1936,,
,"Texas","South and Southwest","Male","55 yrs and over","Av+","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","South",,"fdr","fdr",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Both candidates","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","tx","South",,"South",,"South",,1936,,
,"Texas","South and Southwest","Male","55 yrs and over","P or P+","Other and None",,,,"Urban",,,,"Other","Not Professional","South",,"fdr","fdr",,,53,"No","Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","tx","South",,"South",,"South",,1936,,
,"Tennessee","South and Southwest","Male","35-44 yrs","Av+","Business",,,,"Small town",,,,"Professional","Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","tn","South",,"South",,"South",,1936,,
,"Tennessee","South and Southwest","Male","35-44 yrs","Av+","Skilled workers",,,,"Small town",,,,"Labor","Not Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","tn","South",,"South",,"South",,1936,,
,"Tennessee","South and Southwest","Female","35-44 yrs","Av+","Skilled workers",,,,"Farm",,,,"Labor","Not Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Farm","Farm","Non-Urban","tn","South",,"South",,"South",,1936,,
,"Texas","South and Southwest","Female","35-44 yrs","P or P+","Other and None",,,,"Urban",,,,"Other","Not Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","tx","South",,"South",,"South",,1936,,
,"Texas","South and Southwest","Male",,"Av+","Business",,,,"Small town",,,,"Professional","Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","tx","South",,"South",,"South",,1936,,
,"Texas","South and Southwest","Male",,"P or P+","Skilled workers",,,,"Urban",,,,"Labor","Not Professional","South",,"fdr","fdr",,,53,"Yes","Yes","Yes","Roosevelt","Roosevelt","Landon","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","tx","South",,"South",,"South",,1936,,
,"Tennessee","South and Southwest","Male",,"Av+","Unemployed",,,,"Small town",,,,"Unemployed","Not Professional","South",,"fdr","fdr",,,53,"No","Yes","Yes","Roosevelt",,"Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Rural Non-Farm","Non-Urban","tn","South",,"South",,"South",,1936,,
,"Texas","South and Southwest","Male",,,"Other and None",,,,"Urban",,,,"Other","Not Professional","South",,"fdr","fdr",,,53,,"Yes","Yes","Roosevelt","Roosevelt","Roosevelt","Roosevelt","Yes, voted for Roosevelt","Non-Farm","Urban","Urban","tx","South",,"South",,"South",,1936,,
