Column No.	Column name	Data type	Varies By	Calculated from other columns?	Description
57	usg_pct	float64	Game and Player	Yes	Usage rate, aka NBA usage percentage, is an estimate of the percentage of team plays used by a player while he was on the floor. Usage rate can be calculated with how a possession ends: “field-goal or free-throw attempt, or a turnover. Usage Rate Calculation Formula = 100((Player’s Field Goal Attempts)+0.44(Player’s Free Throw Attempts)+(Player’s Turnovers))(Team’s Total Minutes)/((Team’s Total Field Goal Attempts)+0.44(Team’s Total Free Throw Attempts)+Team’s Total Turnovers))5(Player’s Minutes)
58	off_rtg	int64	Game and Player	No	Number of team points per 48 minutes while this player was on the floor.
59	def_rtg	int64	Game and Player	No	Number of opponent team's points per 48 minutes while this player was on the floor.
60	bpm	float64	Game and Player	No	Box plus-minus takes box score stats from an individual and tries to estimate player performance relative to the NBA average. Since BPM is a per-100-possession stat where 0.0 is league average, +5 means the player is 5 points better than an average player over 100 possessions (which is about All-NBA level), -2 is replacement level, and -5 is really bad.
61	season	int64	Game	Yes	Year in which the season ended. For the 2021-2022 season this value is 2022
62	minutes	float64	Game and Player	No	Minutes the player was in the game
63	double_double	int64	Game and Player	Yes	Binary: did the player record double digits in two of points, rebounds, assists, steals, and blocks?
64	triple_double	int64	Game and Player	Yes	Binary: did the player record double digits in three of points, rebounds, assists, steals, and blocks?
65	DKP	float64	Game and Player	Yes	Fantasy points scored by this player on DraftKings.com
66	FDP	float64	Game and Player	Yes	Fantasy points scored by this player on FanDuel.com
67	SDP	float64	Game and Player	Yes	Fantasy points scored by this player on another sports betting website (I'm not sure what SD is though)
68	DKP_per_minute	object	Game and Player	Yes	DKP / minutes
69	FDP_per_minute	object	Game and Player	Yes	FDP / minutes
70	SDP_per_minute	object	Game and Player	Yes	SDP / minutes
71	pf_per_minute	float64	Game and Player	Yes	pf / minutes
72	ts	float64	N/A	N/A	(Not sure what this column is. We'll delete it)
73	last_60_minutes_per_game_starting	float64	N/A	N/A	(Not sure what this column is. We'll delete it)
74	last_60_minutes_per_game_bench	float64	N/A	N/A	(Not sure what this column is. We'll delete it)
75	PG%	float64	Game and Player	No	% of player's minutes playing the point guard position
76	SG%	float64	Game and Player	No	% of player's minutes playing the point guard position
77	SF%	float64	Game and Player	No	% of player's minutes playing the point guard position
78	PF%	float64	Game and Player	No	% of player's minutes playing the power forward position
79	C%	float64	Game and Player	Yes	% of player's minutes playing the center position
80	active_position_minutes	float64	N/A	N/A	(Not sure what this column is. We'll delete it)
